Application_name,Benchmark_name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data_size,Base Clock (Ghz),Boost Clock (Ghz),Total Cores (#),Memory Size (GB),Memory bandwidth (GB/s),Performance (Single Precision) (GFLOPS),Instruction per cycle (#),Memory Speed (Ghz/Gbps),Execution Time in Seconds,System,System
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0852649212,740_1_GPU_Execution_time,2
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,8192,0.993,1.003,384,2,28.8,762,2,1.8,0.08583498,740_1_GPU_Execution_time,2
ScanLargeArrays ,amd,3,18,0,26,19,0,0,2,0,0,4,7,0,0,5,10,7,21,128,35,129,0,0,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.0868442059,740_1_GPU_Execution_time,2
covariance,polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,128,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0882461071,760_GPU_Execution_time,6
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.0883460045,740_1_CPU_Execution_time,1
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,8192,0.993,1.003,384,2,28.8,762,2,1.8,0.0885670185,740_1_GPU_Execution_time,2
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,2048,3.4,4,32,4,34.1,870.4,32,2.133,0.0892469883,740_1_CPU_Execution_time,1
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,1024,0.993,1.003,384,2,28.8,762,2,1.8,0.0892660618,740_1_GPU_Execution_time,2
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,500,0.993,1.003,384,2,28.8,762,2,1.8,0.0893230438,740_1_GPU_Execution_time,2
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,1000,0.993,1.003,384,2,28.8,762,2,1.8,0.0893471241,740_1_GPU_Execution_time,2
BitonicSort ,amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,0.993,1.003,384,2,28.8,762,2,1.8,0.0893878937,740_1_GPU_Execution_time,2
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,2000,0.993,1.003,384,2,28.8,762,2,1.8,0.0894360542,740_1_GPU_Execution_time,2
PrefixSum ,amd,2,25,0,10,7,0,3,1,0,0,9,3,3,0,4,5,6,27,103,2,121,0,3,250,0.993,1.003,384,2,28.8,762,2,1.8,0.0894589424,740_1_GPU_Execution_time,2
Reduction ,amd,1,7,0,5,3,0,2,0,0,0,1,0,2,0,0,3,5,8,29,2,30,0,1,65536,0.993,1.003,384,2,28.8,762,2,1.8,0.0895400047,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,3.2,3.4,16,8,25.6,409.6,32,1.6,0.0896680355,760_CPU_Execution_time,5
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,32768,0.993,1.003,384,2,28.8,762,2,1.8,0.0898089409,740_1_GPU_Execution_time,2
matvecmul,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,2,63,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0898499489,740_1_GPU_Execution_time,2
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0901329517,740_1_GPU_Execution_time,2
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,150,0.98,1.033,1152,2,192.2,2257.9,2,6,0.0907359123,760_GPU_Execution_time,6
3DConvolution,polybench,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,175,0.993,1.003,384,2,28.8,762,2,1.8,0.0910949707,740_1_GPU_Execution_time,2
FastWalshTransform ,amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,0.993,1.003,384,2,28.8,762,2,1.8,0.0910999775,740_1_GPU_Execution_time,2
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0914580821991,740_2_GPU_Execution_time,4
atax,polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,3.4,4,32,4,34.1,870.4,32,2.133,0.0919530392,740_1_CPU_Execution_time,1
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,256,3.4,4,32,4,34.1,870.4,32,2.133,0.0923750401,740_1_CPU_Execution_time,1
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,4096,0.993,1.003,384,2,28.8,762,2,1.8,0.093118906,740_1_GPU_Execution_time,2
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,3.4,4,32,4,34.1,870.4,32,2.133,0.0941200256,740_1_CPU_Execution_time,1
syrk,polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,128,3.4,4,32,4,34.1,870.4,32,2.133,0.0942311287,740_1_CPU_Execution_time,1
BlackScholes ,amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,262144,0.993,1.003,384,2,28.8,762,2,1.8,0.0945680141,740_1_GPU_Execution_time,2
MatrixMultiplication,amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,5120,0.993,1.003,384,2,28.8,762,2,1.8,0.0946190357,740_1_GPU_Execution_time,2
gemm,polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,256,3.2,3.4,16,8,25.6,409.6,32,1.6,0.0948531628,760_CPU_Execution_time,5
MatrixTranspose ,amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,512,0.993,1.003,384,2,28.8,762,2,1.8,0.0952489376,740_1_GPU_Execution_time,2
2DConvolution,polybench,1,3,0,9,1,1,11,3,0,0,4,0,11,0,4,10,5,4,68,6,40,0,0,2048,0.993,1.003,384,2,28.8,762,2,1.8,0.0959489345551,740_2_GPU_Execution_time,4
gesummv,polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,3.4,4,32,4,34.1,870.4,32,2.133,0.0960149765,740_1_CPU_Execution_time,1
